City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Puerto Colombia,CO,86.0,broken clouds,10.9878,-74.9547,Hotel El Emigrante
277,Barinitas,VE,80.62,broken clouds,8.7622,-70.4111,Hotel- Posada Valle Esmeralda C.A
279,Balsas,BR,77.36,overcast clouds,-7.5325,-46.0356,Novo Hotel
281,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
283,Kavaratti,IN,83.71,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
284,Khartoum,SD,82.0,broken clouds,15.5518,32.5324,Hotel China
285,Sandakan,MY,75.2,few clouds,5.8402,118.1179,Hotel Sandakan
287,Bambanglipuro,ID,75.13,broken clouds,-7.95,110.2833,Puri Brata
288,Basco,PH,78.31,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
290,Kolokani,ML,88.32,scattered clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
296,Tevaitoa,PF,81.73,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
297,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
302,Meulaboh,ID,77.81,overcast clouds,4.1363,96.1285,Kost Pria
306,Adrar,MR,79.12,few clouds,20.5022,-10.0711,
308,Aden,YE,80.37,clear sky,12.7794,45.0367,Sama Emirate Hotel
310,Zacatlan,MX,77.9,broken clouds,19.9333,-97.9667,Cabañas Los Cedros
312,Namatanai,PG,81.95,overcast clouds,-3.6667,152.4333,Namatanai Hotel
316,Bondoukou,CI,81.7,broken clouds,8.0333,-2.8,Prestige Hotel
318,Nalut,LY,79.3,broken clouds,30.3333,10.85,
321,Namibe,AO,80.87,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
322,Taoudenni,ML,85.28,clear sky,22.6783,-3.9836,
324,Cayenne,GF,82.4,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
326,Ichalkaranji,IN,75.43,clear sky,16.7,74.4667,Hotel Hirkani हॉटेल हिरकणी
337,Bantogon,PH,77.86,light rain,6.5333,124.0333,Kalamansig Greenhome
339,Guapo,BR,80.6,scattered clouds,-16.8306,-49.5319,Lar de idosos de Guapó
340,Makakilo City,US,80.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
341,Pitimbu,BR,77.0,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
342,Noumea,NC,78.8,light rain,-22.2763,166.4572,Hôtel Le Lagon
343,Daru,PG,79.74,scattered clouds,-9.0763,143.2092,Daru Lodge
345,Karaton,ID,78.01,mist,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
349,La Romana,DO,84.2,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
353,High Rock,BS,78.8,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
358,Toamasina,MG,75.2,scattered clouds,-18.1667,49.3833,Hotel H1
360,Wiang Sa,TH,84.0,overcast clouds,8.6359,99.3666,ชำนาญอินน์
361,Banda Aceh,ID,80.06,overcast clouds,5.5577,95.3222,Sulthan Hotel International
363,Payyannur,IN,79.38,overcast clouds,12.1,75.2,Kavvayi Beach House
364,Sibu,MY,75.2,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
367,Chalchihuites,MX,80.46,clear sky,23.4833,-103.8833,Hotel Posada Real
370,Tlaltenango,MX,80.6,broken clouds,19.1667,-98.3333,CASA VALENCIA
372,Urucui,BR,80.65,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
374,Bathsheba,BB,82.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
376,Kafanchan,NG,79.07,overcast clouds,9.5833,8.3,Metro Guest Inn
377,Porto Novo,BJ,84.2,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
381,Bernal,PE,82.78,broken clouds,-5.45,-80.75,Plaza de Armas Bellavista de La Unión
383,Tucurui,BR,76.28,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
384,Bull Savanna,JM,79.47,few clouds,17.8868,-77.5902,Big Red's
388,Poum,NC,79.12,overcast clouds,-20.2333,164.0167,Gîte kajeon
391,Padang,ID,76.15,overcast clouds,-0.9492,100.3543,Mercure Padang
393,Kralendijk,BQ,84.2,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
396,Lethem,GY,87.8,light rain,3.3803,-59.7968,Savannah Inn
398,Oistins,BB,82.4,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
